Token,Round,Ataque,Resposta,Resultado
-MC4JosLZF9ks4ry1pSx,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4JosLZF9ks4ry1pSx%2F1%2F17463.aac?alt=media&token=738dfeee-0218-4047-aa84-7850ef0f324f,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4JosLZF9ks4ry1pSx%2F1%2F8005.aac?alt=media&token=0ff7e2f7-364a-4164-8382-d0a52c0ecbda,ataque
-MC4K0DO9Knkiv1JLESj,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4K0DO9Knkiv1JLESj%2F1%2F17754.aac?alt=media&token=3e9f2539-fd9c-420d-9de0-3a57d39a915b,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4K0DO9Knkiv1JLESj%2F1%2F13580.aac?alt=media&token=7dd31d5d-5152-4238-a237-99d8753b251c,resposta
-MC4K0DO9Knkiv1JLESj,2,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4K0DO9Knkiv1JLESj%2F2%2F13580.aac?alt=media&token=4b17ee93-6509-4b21-b1db-696f119724d7,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4K0DO9Knkiv1JLESj%2F2%2F17754.aac?alt=media&token=ef75c1d5-85c5-44ee-a20a-5e42ead35834,ataque
-MC4KDB6YZgs4Ok8X2Ct,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F1%2F2067.aac?alt=media&token=5ad63317-d293-4024-aea8-cd6b3e576c23,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F1%2F17596.aac?alt=media&token=cb17fd06-3ed3-49ab-89c9-e6b2ebb07aab,ataque
-MC4KDB6YZgs4Ok8X2Ct,2,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F2%2F17596.aac?alt=media&token=69c67d1c-4e0f-4ab8-90a8-9ac8e1870652,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F2%2F2067.aac?alt=media&token=d9232f50-dd03-43cc-a60e-d8d1493e6bd4,ataque
-MC4KDB6YZgs4Ok8X2Ct,3,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F3%2F2067.aac?alt=media&token=add98193-0d07-4727-b137-855e9b2039cc,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F3%2F17596.aac?alt=media&token=31025e55-35e7-44d5-8eee-002c2ea94aeb,resposta
-MC4KK9aBrGAYCkVH7MS,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KK9aBrGAYCkVH7MS%2F1%2F10995.aac?alt=media&token=1eddaa40-5b02-4f43-a3d3-cdc0cfd672cc,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KK9aBrGAYCkVH7MS%2F1%2F15238.aac?alt=media&token=490df10b-01d5-41f4-9d78-e5869f6df973,resposta
-MC4KK9aBrGAYCkVH7MS,2,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KK9aBrGAYCkVH7MS%2F2%2F15238.aac?alt=media&token=099bc5e2-075c-4e4e-85cb-a53ebaaadcd4,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KK9aBrGAYCkVH7MS%2F2%2F10995.aac?alt=media&token=64149098-7626-4690-ba4e-b375dbdb98a2,ataque
-MC4KOOpVFrNEJIIWJUu,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KOOpVFrNEJIIWJUu%2F1%2F14734.aac?alt=media&token=7931074e-af4c-450d-a67c-5b698cb80d03,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KOOpVFrNEJIIWJUu%2F1%2F16293.aac?alt=media&token=08a5564f-a98f-48a3-834c-d03bb880b91a,resposta
-MC4KmKdFLS5X922VYVo,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KmKdFLS5X922VYVo%2F1%2F13448.aac?alt=media&token=81af5fbe-6ff7-4c4b-9f89-d68fe5d34286,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KmKdFLS5X922VYVo%2F1%2F14279.aac?alt=media&token=c4fb5a71-7a9f-46da-94ba-36c4e4f84416,resposta
-MC4KmKdFLS5X922VYVo,2,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KmKdFLS5X922VYVo%2F2%2F14279.aac?alt=media&token=c98f2215-d742-4842-a80f-282af8b54a51,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KmKdFLS5X922VYVo%2F2%2F13448.aac?alt=media&token=fdf2a667-7c66-4640-b085-0db2cea2d972,resposta
-MC4KmKdFLS5X922VYVo,3,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KmKdFLS5X922VYVo%2F3%2F13448.aac?alt=media&token=63274d64-afea-4bb0-9d54-cbb5b5ac31c7,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KmKdFLS5X922VYVo%2F3%2F14279.aac?alt=media&token=a6c67c7d-7ab7-4bd8-a083-5ee28032f8a4,resposta
-MC4Kx_jo5bfxtkVgfFc,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4Kx_jo5bfxtkVgfFc%2F1%2F17598.aac?alt=media&token=4272097f-78c5-40be-bb3e-5514127f2011,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4Kx_jo5bfxtkVgfFc%2F1%2F2529.aac?alt=media&token=259eab4c-5c3f-46e6-98c8-2f8458612389,resposta
-MC4Kx_jo5bfxtkVgfFc,2,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4Kx_jo5bfxtkVgfFc%2F2%2F2529.aac?alt=media&token=c5621ca9-934c-49c9-8cc2-b8fc7b2e8990,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4Kx_jo5bfxtkVgfFc%2F2%2F17598.aac?alt=media&token=9d94fb0d-3554-49dc-9bdf-5eae3a77735f,resposta
-MC4Kx_jo5bfxtkVgfFc,3,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4Kx_jo5bfxtkVgfFc%2F3%2F2529.aac?alt=media&token=0a6511e5-3212-4504-bc14-8f3934a3fb5f,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4Kx_jo5bfxtkVgfFc%2F3%2F17598.aac?alt=media&token=a81e8190-fc44-4621-9db6-52919dc2c750,resposta
-MC4L5QNt8s8Kq9MS6Nt,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4L5QNt8s8Kq9MS6Nt%2F1%2F17457.aac?alt=media&token=0dcbde89-fdae-449b-99e7-b4ccc2bdd5f0,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4L5QNt8s8Kq9MS6Nt%2F1%2F9766.aac?alt=media&token=f14f8389-b39b-4e49-b983-9b1c368f74dc,resposta
-MC4L5QNt8s8Kq9MS6Nt,2,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4L5QNt8s8Kq9MS6Nt%2F2%2F9766.aac?alt=media&token=c943cb57-8760-484d-99e6-6f340aa9814d,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4L5QNt8s8Kq9MS6Nt%2F2%2F17457.aac?alt=media&token=68f9bc4d-5ec8-4fe6-9660-7117370cd8b7,ataque
