,feature,class_label
0,"[ 0.0000000e+00  1.1146843e-08  0.0000000e+00  1.1146843e-08
  0.0000000e+00  0.0000000e+00 -9.9083044e-09  0.0000000e+00
  2.4770761e-09  9.9083044e-09  7.4312285e-09  1.4862457e-08
 -1.2385381e-08 -9.9083044e-09  3.7156143e-09 -1.2385381e-08
 -3.7156143e-09  9.9083044e-09  0.0000000e+00 -9.9083044e-09
 -2.4642748e-09 -4.9285496e-09  9.8570991e-09  4.9285496e-09
  4.9285496e-09  0.0000000e+00  4.9285496e-09 -4.9285496e-09
  6.7767556e-09  1.4785648e-08  6.1606866e-09 -4.9285496e-09
  1.8482060e-08  9.8570991e-09  7.3928241e-09 -7.3928241e-09
 -6.1606866e-09 -4.9285496e-09 -7.3928241e-09  7.3928241e-09]",ataque
1,"[-6.1487704e-09  7.3785249e-09  0.0000000e+00 -9.8380326e-09
 -9.8380326e-09 -2.4595082e-09  0.0000000e+00 -7.3785249e-09
 -9.8380326e-09  0.0000000e+00 -4.9190163e-09  0.0000000e+00
 -1.4757050e-08 -1.4757050e-08 -4.9190163e-09  1.2297541e-09
 -9.8380326e-09 -7.3785249e-09  0.0000000e+00  0.0000000e+00
  9.8380326e-09 -9.8380326e-09  0.0000000e+00  9.8380326e-09
 -4.9190163e-09  4.9190163e-09  0.0000000e+00 -4.9190163e-09
  0.0000000e+00 -9.8380326e-09  0.0000000e+00  0.0000000e+00
 -7.3785249e-09 -9.8380326e-09 -9.8380326e-09  4.9190163e-09
  1.2297541e-09 -1.4757050e-08  0.0000000e+00  7.3785249e-09]",resposta
2,"[ 0.0000000e+00  4.9190163e-09 -9.8380326e-09 -1.4757050e-08
  0.0000000e+00  9.8380326e-09  0.0000000e+00  9.8380326e-09
  9.8380326e-09  1.2297541e-08  0.0000000e+00  1.3527295e-08
 -2.4595082e-09  0.0000000e+00  9.8380326e-09  4.9190163e-09
 -9.8380326e-09  4.9190163e-09  7.3785249e-09  2.4595082e-09
  1.7216557e-08  7.3785249e-09 -9.8380326e-09  0.0000000e+00
 -1.4757050e-08  9.8380326e-09 -9.8380326e-09 -7.3785249e-09
  1.4757050e-08 -4.9190163e-09  0.0000000e+00  0.0000000e+00
  1.4757050e-08  0.0000000e+00  0.0000000e+00  4.9190163e-09
 -4.9190163e-09 -2.4595082e-09  0.0000000e+00  1.4757050e-08]",ataque
3,"[ 0.0000000e+00  0.0000000e+00  4.9190163e-09  9.8380326e-09
 -4.9190163e-09 -4.9190163e-09 -1.4757050e-08  0.0000000e+00
  9.8380326e-09  0.0000000e+00  0.0000000e+00  0.0000000e+00
 -9.8380326e-09  1.4757050e-08 -4.9190163e-09 -9.8380326e-09
 -1.2297541e-08 -9.8380326e-09  4.9190163e-09 -9.8380326e-09
  4.9349254e-09 -9.8698507e-09  3.7011940e-09 -9.8698507e-09
  0.0000000e+00 -3.7011940e-09 -1.4804776e-08  4.9349254e-09
  0.0000000e+00  0.0000000e+00  7.4023880e-09 -4.9349254e-09
 -7.4023880e-09  1.9739701e-08  9.8698507e-09  1.9739701e-08
  1.9739701e-08 -7.4023880e-09 -2.4674627e-09  0.0000000e+00]",ataque
4,"[-9.8698507e-09  1.9739701e-08 -4.9349254e-09 -9.8698507e-09
  0.0000000e+00 -7.4023880e-09 -4.9349254e-09  0.0000000e+00
  4.9349254e-09  0.0000000e+00 -3.7011940e-09  9.8698507e-09
  0.0000000e+00  9.8698507e-09  0.0000000e+00 -4.9349254e-09
  1.2337313e-08  4.9349254e-09  4.9349254e-09  0.0000000e+00
  9.8507353e-09  0.0000000e+00  9.8507353e-09 -9.8507353e-09
  0.0000000e+00  9.8507353e-09  1.4776103e-08  0.0000000e+00
 -4.9253677e-09  9.8507353e-09 -4.9253677e-09 -9.8507353e-09
  0.0000000e+00  0.0000000e+00  4.9253677e-09 -3.6940258e-09
  0.0000000e+00  4.9253677e-09  9.8507353e-09 -9.8507353e-09]",ataque
5,"[-4.9253677e-09  4.9253677e-09  1.2313420e-08  4.9253677e-09
  4.9253677e-09 -9.8507353e-09  4.9253677e-09  0.0000000e+00
 -4.9253677e-09  9.8507353e-09 -9.8507353e-09 -4.9253677e-09
  9.8507353e-09 -7.3880515e-09  0.0000000e+00 -4.9253677e-09
 -1.4776103e-08  1.2313420e-08  0.0000000e+00 -4.9253677e-09
 -4.9349254e-09 -6.1686567e-09 -1.2337313e-09 -3.7011940e-09
 -4.9349254e-09 -4.9349254e-09  0.0000000e+00  7.4023880e-09
  4.9349254e-09  0.0000000e+00  9.8698507e-09  0.0000000e+00
 -4.9349254e-09  4.9349254e-09  2.4674627e-09 -4.9349254e-09
  9.8698507e-09  4.9349254e-09  0.0000000e+00  0.0000000e+00]",resposta
6,"[ 0.0000000e+00 -7.4023880e-09  4.9349254e-09  7.4023880e-09
  1.4804776e-08 -1.2337313e-09  9.8698507e-09  0.0000000e+00
  2.9609552e-08  9.8698507e-09  1.9739701e-08 -1.7272239e-08
  9.8698507e-09  4.9349254e-09 -4.9349254e-09 -9.8698507e-09
  0.0000000e+00  4.9349254e-09 -9.8698507e-09 -9.8698507e-09
 -2.2207164e-08 -4.9349254e-09  0.0000000e+00 -1.4804776e-08
  9.8698507e-09  1.4804776e-08 -4.9349254e-09  0.0000000e+00
  4.9349254e-09 -9.8698507e-09 -9.8698507e-09  0.0000000e+00
 -4.9349254e-09 -9.8698507e-09  0.0000000e+00  0.0000000e+00
  0.0000000e+00  3.7011940e-09  7.4023880e-09  1.2337313e-08]",resposta
7,"[ 9.8698507e-09  2.4674627e-09  6.1686567e-09  9.8698507e-09
 -2.4674627e-09  0.0000000e+00 -9.8698507e-09  2.4674627e-09
 -1.4804776e-08 -9.8698507e-09  1.9739701e-08  1.8505970e-09
  9.8698507e-09  4.9349254e-09  4.9349254e-09 -2.4674627e-09
 -9.8698507e-09  0.0000000e+00  4.9349254e-09  1.4804776e-08
  3.7011940e-09  2.4674627e-09  4.9349254e-09  9.8698507e-09
  9.8698507e-09  4.9349254e-09  0.0000000e+00 -4.9349254e-09
  0.0000000e+00 -4.9349254e-09 -9.8698507e-09  0.0000000e+00
  1.4804776e-08  0.0000000e+00 -9.8698507e-09 -1.2337313e-09
  0.0000000e+00 -4.9349254e-09 -7.4023880e-09 -1.4804776e-08]",ataque
8,"[ 0.0000000e+00 -1.0486716e-08 -9.8698507e-09  0.0000000e+00
  4.9349254e-09 -6.1686567e-09 -8.6361194e-09  9.8698507e-09
 -4.9349254e-09  1.9739701e-08 -7.4023880e-09  1.2337313e-08
 -4.9349254e-09  9.8698507e-09  0.0000000e+00  3.7011940e-09
 -9.8698507e-09  4.9349254e-09  0.0000000e+00  1.2337313e-09
 -4.9317355e-09 -1.3562272e-08  4.9317355e-09  4.9317355e-09
  7.3976030e-09  0.0000000e+00  9.8634709e-09  9.8634709e-09
 -1.2329338e-08  1.4795206e-08 -7.3976030e-09 -4.9317355e-09
  0.0000000e+00  0.0000000e+00 -4.9317355e-09 -9.8634709e-09
  0.0000000e+00 -3.6988015e-09  4.9317355e-09  0.0000000e+00]",resposta
9,"[-4.9285496e-09  7.3928241e-09  0.0000000e+00  0.0000000e+00
 -1.4785648e-08 -9.8570991e-09  9.8570991e-09 -4.9285496e-09
  1.9714198e-08 -2.4642748e-09 -4.9285496e-09 -6.1606866e-09
  2.4642748e-09  4.9285496e-09 -4.9285496e-09 -9.8570991e-09
  0.0000000e+00 -1.2321373e-08  1.4785648e-08 -4.9285496e-09
  0.0000000e+00  7.3928241e-09  9.8570991e-09  0.0000000e+00
  0.0000000e+00  0.0000000e+00  9.8570991e-09 -4.9285496e-09
  0.0000000e+00  9.8570991e-09  9.8570991e-09  0.0000000e+00
  0.0000000e+00  4.9285496e-09  0.0000000e+00 -7.3928241e-09
 -9.8570991e-09  9.8570991e-09 -9.8570991e-09  0.0000000e+00]",resposta
