Token,Round,Ataque,Resposta,Resultado,Ataque_text,Resposta_text
-MC4JosLZF9ks4ry1pSx,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4JosLZF9ks4ry1pSx%2F1%2F17463.aac?alt=media&token=738dfeee-0218-4047-aa84-7850ef0f324f,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4JosLZF9ks4ry1pSx%2F1%2F8005.aac?alt=media&token=0ff7e2f7-364a-4164-8382-d0a52c0ecbda,ataque,mano vem aqui em previsão de você tá ligado que aqui eu passo o meu som você é o Eduardo na Vera você me mandou assim eu acho que você não tem o dom agora tô falando para você que você aqui você não se assemelha p*** que pariu menor que p**** é essa na sua cara eu não sei se parece com um coelho que eu tô falando meu mano Eu acho que eu tô chapado demais você não sabe nem ser pagar esse você mas eu preciso de uma massa Tu parece o satanás tipo Hum que eu tô falando não mano agora fala o que você acha cota pode mandar sua resposta pode mandar sua resposta,fala Cauê Qual é o procedimento que você fala na minha cara você não consegui responder agora vou mandar para você Eu estou aqui aprender pena então fortalecer Mas pode deixar comigo meu amigo eu vou remando não consigo lavar o primeiro
-MC4K0DO9Knkiv1JLESj,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4K0DO9Knkiv1JLESj%2F1%2F17754.aac?alt=media&token=3e9f2539-fd9c-420d-9de0-3a57d39a915b,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4K0DO9Knkiv1JLESj%2F1%2F13580.aac?alt=media&token=7dd31d5d-5152-4238-a237-99d8753b251c,resposta,vai tomar injeção você só come pão eu vou te dar logo um socão aqui cutuvelada você não sabe mandar em precisar eu te falo o seu mandioca parece uma cenoura É isso mesmo é o CEP do legumes um vegetal você é um animal que eu vou te meter logo prosseguir você não sabe como que se faz uma levada é a rima improvisada acalma o seu burro no você é um,satisfação satisfação o meu parceiro mano tão que vai além tá ligado aquela rima que é mais de 60 ligado rap que é agora vou te derrubar Se liga meu parceiro na rima na cara vou bater em você tá ligado até para ver se liga aí meu parceiro na rima que eu mandei esse link aí aliado só mandou as remendada Então tá ligado bota para sua casa mano eu não entendi o que você falou tá ligado eu nem sei o que ser atacou Mas tudo bem vamos
-MC4K0DO9Knkiv1JLESj,2,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4K0DO9Knkiv1JLESj%2F2%2F13580.aac?alt=media&token=4b17ee93-6509-4b21-b1db-696f119724d7,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4K0DO9Knkiv1JLESj%2F2%2F17754.aac?alt=media&token=ef75c1d5-85c5-44ee-a20a-5e42ead35834,ataque,satisfação aqui é o Tom bota novamente tá ligado parça correto e quer mais potente e até me perdi no bit quase abaixei mas tá ligado no meu parceiro no Rap Eu não parei eu não abaixei que eu não deixo no seu nível tá ligado mano que é mais incrível agora eu te atropelo que piso aqui na rima se liga aí rap que você não bota no clima se liga parceiro você não manda a Levada da improvisada para mim é tudo decorada Então chega no ataque mais forte que eu tô até o,entendi nada que você falou Acho que pela boca seca Google meu parceiro só você não faz o som mas vai te falando que você parece um bombom para cima em inglês japonês e italiano você tá ligado que eu tenho improvisando você é um Zé mané tá ligado nós não desce no nível por causa que o nível já é bem baixo por causa que nós namora lá no lixo do Luxo você é um Zé mané Essa é a rima que eu mando de pé
-MC4KDB6YZgs4Ok8X2Ct,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F1%2F2067.aac?alt=media&token=5ad63317-d293-4024-aea8-cd6b3e576c23,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F1%2F17596.aac?alt=media&token=cb17fd06-3ed3-49ab-89c9-e6b2ebb07aab,ataque,satisfação Rodrigo satisfação agora hein Tá batalhando contigo mas nessa rima pesada meu mano plástico gente tá aqui mas eu não tô passando pelo seu amigo vou matando humanos pedindo nesse percurso final de domingo após caçando urso agora se afunda eu caço esse gesso para fazer um churras na segunda porque pode ter na rebocagem empresa você é outras o Léo eu sou o rei da selva passar proeza,satisfação em casa mano eu vou mandar no Beach aí Kaizen eu vou falando de trepar uma coisa que você não tem então convém dizendo que o bicho agora é sempre minha nota minha rima é nota 100 obtiverem eu vou mandando agora sim deboche você é ruim demais vai ela não vai fazer churrasco agora tipo Micha mandando minha rima faz mal para Tua barriga tem que falar para tu mano agora tipo migo barriguinha sua falta
-MC4KDB6YZgs4Ok8X2Ct,2,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F2%2F17596.aac?alt=media&token=69c67d1c-4e0f-4ab8-90a8-9ac8e1870652,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F2%2F2067.aac?alt=media&token=d9232f50-dd03-43cc-a60e-d8d1493e6bd4,ataque,estou mandando um vídeo agora mas não agora o bit conversa nós já tá no segundo áudio mano você só falou m**** eu vou mandando agora tipo um mal eu sou tipo o Corinthians deixa o melhor só para final pode vir no Beach agora mano agora é tipo Kaizen eu te derrubou Eu te deixo no a minha rima é na tá sem aqui com vem dizendo que bicho é Vem pode vir aqui no Face dizendo agora você além além,Se liga mano aqui no verso é bem sabe o cara inventa palavra p**** tá rimando em arábico Eu não entendi o que você disse que quando Kaizen O que é flan Como assim né vou me manda meu mano eu vou mais de 100 falou em Corinthians mano na moral Cê só vai me ganhar quando o Palmeiras tem Mundial falando futebol Eu mando meu filho no carro que eu sou bom tipo gabigol
-MC4KDB6YZgs4Ok8X2Ct,3,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F3%2F2067.aac?alt=media&token=add98193-0d07-4727-b137-855e9b2039cc,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KDB6YZgs4Ok8X2Ct%2F3%2F17596.aac?alt=media&token=31025e55-35e7-44d5-8eee-002c2ea94aeb,resposta,Ei você falou do Pit Eu remo na Petite agora eu tô aqui para te deixar mudo quando aqui o bicicleta borbec essa p**** rap o que importa é o conteúdo pode ver eu sofrer Estaleiro foi até um milagre você ter levado para o terceiro Pode crer que a gente ataca na realidade foi culpa do juiz que é um babaca Pode crer depositar batalha vou desafiar o juízo e matar com meu flor de navalha aí nós,partiu não foi nada não hoje está bem legal aí deixa eu te dizer agora mano eu vou te matar é desculpa de me seguir não sabe rir mais não deixa eu te dizer agora você não tem flor pode vir no Beach agora agora em brasa chopp mas não vou mandando agora é do Buriti mano vou mandando desse jeito não me mentir mano eu vou mandando minha mãe me deu tudo eu comprei adrenalina o jogo de Deus mas você não deu aqui mas você sabe quando eu vou mandando agora satisfação aí valeu juiz Valeu aí vai ver pode pá
-MC4KK9aBrGAYCkVH7MS,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KK9aBrGAYCkVH7MS%2F1%2F10995.aac?alt=media&token=1eddaa40-5b02-4f43-a3d3-cdc0cfd672cc,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KK9aBrGAYCkVH7MS%2F1%2F15238.aac?alt=media&token=490df10b-01d5-41f4-9d78-e5869f6df973,resposta,Ei tá ligado mano que eu tô de boa aqui Chapado e tô batalhando com desenho animado se o vovô do Bigode Olha só como que pode esse cara deve ter um iPod não pode eu chego com a minha rima você tá ligado mano vou fazendo esse freestyle eu não tô no baile Eu não falo em Braile tá ligado mano mas aguenta se está ali que eu tenho vou desenvolvendo meu Rebel veneno você é só um pequeno,gay ok ok bagulho é muito sério critério Então Pode pá mano você sabe que eu vou trabalhar falou até do iPod na batalha que ele pede para apanhar não tem como eu te ligar do meu pai não que eu tô rimando você é muito fraco Você sabe que eu marco Gol Tipo se fosse no baile só para te avisar meu amigo Você não tem flor em cima de sibite desenho animado te bato tu fica triste c****** se anime na rima de disciplina
-MC4KK9aBrGAYCkVH7MS,2,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KK9aBrGAYCkVH7MS%2F2%2F15238.aac?alt=media&token=099bc5e2-075c-4e4e-85cb-a53ebaaadcd4,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KK9aBrGAYCkVH7MS%2F2%2F10995.aac?alt=media&token=64149098-7626-4690-ba4e-b375dbdb98a2,ataque,satisfação né E aí Ah tu tá chapadão Chapadão para batalhar comigo o teu f***** você lombradão mas tu ralar daqui demorou é f*** te incomodando a parada mano não te faz sorrir muito menos carinho limpado de Entendeu meu mano que tu namora agressão psicológica naturalmente i***** ou seja nessa batalha agressão aqui é verbal verbalizando tudo que penso em você tá ligado meu mano te ofendo porque tu não é camarada Ou seja eu sou desenho animado e recebendo com a pancada,iPad para apanhar olha aqui rima manjada você tá ligado mano que você não manda nada aí debruçado nem rima anotada nasce uma piada você tá ligado mano olha só o anime ali que tá dioclea cabelo verdinho e também ele tá de bigodinho eu tô ali no canto quase igualzinho mas eu falo aqui mano logo o primeiro é que meu óculos ali é verdadeiro
-MC4KOOpVFrNEJIIWJUu,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KOOpVFrNEJIIWJUu%2F1%2F14734.aac?alt=media&token=7931074e-af4c-450d-a67c-5b698cb80d03,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KOOpVFrNEJIIWJUu%2F1%2F16293.aac?alt=media&token=08a5564f-a98f-48a3-834c-d03bb880b91a,resposta,esse daqui é o Caio você sabe né meu mano que agora o João para esse daqui é o Caio olhei para você você é tão feio que minha rima até caia mano você sabe que você é muito feia você sabe né meu mano que você não tá desenvolvendo você é tão feio que o bicho papão olhou para você e ele mesmo saiu correndo você sabe você sabe saiu correndo na roda Você sabe né meu mano você não tá desenvolvendo você sabia agora na batida o João vai acabar com você com sua vida,Olha esse mano falando de aparência Já vi que tem tudo menos experiência falou conteúdo mas não falou o valor p**** parceiro vir causar atuador tá ligado que hoje é domingo pede cachimbo cachimbo é de ouro e hoje menor aqui toma um coro tá ligado Socorro é quente bagulho é maluco que o cara é valente quero ver agora desafiar na minha frente tá ligado meu mantém de gente
-MC4KmKdFLS5X922VYVo,1,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KmKdFLS5X922VYVo%2F1%2F13448.aac?alt=media&token=81af5fbe-6ff7-4c4b-9f89-d68fe5d34286,https://firebasestorage.googleapis.com/v0/b/rapapp-f4181.appspot.com/o/battles%2F-MC4KmKdFLS5X922VYVo%2F1%2F14279.aac?alt=media&token=c4fb5a71-7a9f-46da-94ba-36c4e4f84416,resposta,vai vou te matando mas ele tá bom que eu faço Frio então é bom eu ia te chamar de Jesus UnB Mas é isso mano improvisado e não mais no Face tá só fica o rap tá infectado doente aí tomando vamos falar é só que esse cara aqui hoje vou atacar Mas é isso mano culto aqui para eu vou fazer o suporte aí mano que você é forte só que esse cara vir em tudo é que eu tô na roda e você só é atraído por barulho o***** aí tá bom mano que eu faço sim mas só que eu que tô de calça é um bicho está no meio é da pizza e ainda passou por cima,já já sou parceiro Detroit o meu dente no meio de campo tá ligado meu parceiro ele tá de juiz e ele vai votar em mim porque ele sabe que eu vou destruir minha levada assim não é de zumbi tá ligado meu parceiro meu retirar improvisados o artilheiro Nato eu te estraçalho multiverso comigo você não tem de certo tá ligado parceiro faço pelo certo em levar é assassina e faz o correto tá ligado meu parceiro que pegou a visão eu falo é traiçoeiro Pega a visão
